Start header					
	Number of sensors	3			
	Number of time points	100			
End header					
					
					
					
Start data					
Sensor	1	Time	1	Value	0.527858
Sensor	2	Time	1	Value	-0.662543
Sensor	3	Time	1	Value	-0.669858
Sensor	1	Time	2	Value	-0.508336
Sensor	2	Time	2	Value	-0.154916
Sensor	3	Time	2	Value	-0.154208
Sensor	1	Time	3	Value	0.0767902
Sensor	2	Time	3	Value	0.0930179
Sensor	3	Time	3	Value	0.174354
Sensor	1	Time	4	Value	0.163422
Sensor	2	Time	4	Value	0.387622
Sensor	3	Time	4	Value	0.21159
Sensor	1	Time	5	Value	-0.0944239
Sensor	2	Time	5	Value	-0.0425519
Sensor	3	Time	5	Value	-0.18496
Sensor	1	Time	6	Value	-0.157919
Sensor	2	Time	6	Value	0.0208839
Sensor	3	Time	6	Value	0.305509
Sensor	1	Time	7	Value	0.30898
Sensor	2	Time	7	Value	0.232384
Sensor	3	Time	7	Value	0.395198
Sensor	1	Time	8	Value	0.323924
Sensor	2	Time	8	Value	0.180404
Sensor	3	Time	8	Value	0.413284
Sensor	1	Time	9	Value	0.447787
Sensor	2	Time	9	Value	0.396553
Sensor	3	Time	9	Value	0.245909
Sensor	1	Time	10	Value	0.293695
Sensor	2	Time	10	Value	0.359599
Sensor	3	Time	10	Value	0.263807
Sensor	1	Time	11	Value	0.447749
Sensor	2	Time	11	Value	0.549734
Sensor	3	Time	11	Value	0.419879
Sensor	1	Time	12	Value	0.334942
Sensor	2	Time	12	Value	0.152112
Sensor	3	Time	12	Value	-0.0135235
Sensor	1	Time	13	Value	0.0150823
Sensor	2	Time	13	Value	-0.171933
Sensor	3	Time	13	Value	0.0416984
Sensor	1	Time	14	Value	0.0805351
Sensor	2	Time	14	Value	0.140783
Sensor	3	Time	14	Value	0.136078
Sensor	1	Time	15	Value	0.221469
Sensor	2	Time	15	Value	0.416641
Sensor	3	Time	15	Value	0.552299
Sensor	1	Time	16	Value	0.531018
Sensor	2	Time	16	Value	0.789588
Sensor	3	Time	16	Value	0.529834
Sensor	1	Time	17	Value	0.345165
Sensor	2	Time	17	Value	0.358637
Sensor	3	Time	17	Value	0.343268
Sensor	1	Time	18	Value	0.114701
Sensor	2	Time	18	Value	0.199803
Sensor	3	Time	18	Value	0.110035
Sensor	1	Time	19	Value	0.296942
Sensor	2	Time	19	Value	0.100376
Sensor	3	Time	19	Value	0.137491
Sensor	1	Time	20	Value	0.118275
Sensor	2	Time	20	Value	-0.0675309
Sensor	3	Time	20	Value	0.121374
Sensor	1	Time	21	Value	0.308387
Sensor	2	Time	21	Value	0.0269692
Sensor	3	Time	21	Value	0.137495
Sensor	1	Time	22	Value	-0.23682
Sensor	2	Time	22	Value	-0.16005
Sensor	3	Time	22	Value	-0.0953267
Sensor	1	Time	23	Value	0.000133858
Sensor	2	Time	23	Value	0.192054
Sensor	3	Time	23	Value	-0.0305659
Sensor	1	Time	24	Value	-0.0402011
Sensor	2	Time	24	Value	0.0444924
Sensor	3	Time	24	Value	0.157857
Sensor	1	Time	25	Value	0.512704
Sensor	2	Time	25	Value	0.407204
Sensor	3	Time	25	Value	0.489785
Sensor	1	Time	26	Value	0.475683
Sensor	2	Time	26	Value	0.441476
Sensor	3	Time	26	Value	0.518127
Sensor	1	Time	27	Value	0.531568
Sensor	2	Time	27	Value	0.398477
Sensor	3	Time	27	Value	0.153796
Sensor	1	Time	28	Value	0.0321972
Sensor	2	Time	28	Value	-0.0199586
Sensor	3	Time	28	Value	-0.0344573
Sensor	1	Time	29	Value	0.228635
Sensor	2	Time	29	Value	0.177322
Sensor	3	Time	29	Value	0.0724616
Sensor	1	Time	30	Value	-0.0289633
Sensor	2	Time	30	Value	0.187656
Sensor	3	Time	30	Value	0.313519
Sensor	1	Time	31	Value	0.397495
Sensor	2	Time	31	Value	0.345329
Sensor	3	Time	31	Value	-0.0376153
Sensor	1	Time	32	Value	-0.432568
Sensor	2	Time	32	Value	-0.489573
Sensor	3	Time	32	Value	-0.328041
Sensor	1	Time	33	Value	-0.377453
Sensor	2	Time	33	Value	-0.551655
Sensor	3	Time	33	Value	-0.553728
Sensor	1	Time	34	Value	-0.529693
Sensor	2	Time	34	Value	-0.419026
Sensor	3	Time	34	Value	-0.0317721
Sensor	1	Time	35	Value	0.128097
Sensor	2	Time	35	Value	0.247609
Sensor	3	Time	35	Value	-0.0568998
Sensor	1	Time	36	Value	0.446671
Sensor	2	Time	36	Value	0.888461
Sensor	3	Time	36	Value	0.694783
Sensor	1	Time	37	Value	0.384384
Sensor	2	Time	37	Value	0.371844
Sensor	3	Time	37	Value	0.137717
Sensor	1	Time	38	Value	0.364199
Sensor	2	Time	38	Value	0.287918
Sensor	3	Time	38	Value	0.510566
Sensor	1	Time	39	Value	0.119504
Sensor	2	Time	39	Value	-0.250036
Sensor	3	Time	39	Value	-0.179193
Sensor	1	Time	40	Value	-0.0887527
Sensor	2	Time	40	Value	-0.15784
Sensor	3	Time	40	Value	-0.0741005
Sensor	1	Time	41	Value	-0.514717
